Shift_JIS,
, This file is a mapping of all of the categories to their descriptions

action, "条件と処理のトレース"
adapter, "外部アダプタ"
adaptersql, "外部アダプタの SQL 文"
admin, "Ariba Buyer システム管理に関連するメッセージ"
adminLow, "Ariba Buyer システム管理に関連する低レベルメッセージ"
adminui, "カタログ管理に関連するメッセージ"
all, "すべてのメッセージカテゴリ"
allocIds, "サーバーからの ID 割り当て"
analysisMaster, "Analysys マスタ"
analysisMaster.analysis, "Analysis その他"
analysisMaster.analysisAdmin, "Ariba Analysis システム管理に関連するメッセージ"
analysisMaster.analysisDataLoad, "Analysis データロード"
analysisMaster.analysisLoadDetails, "Analysis データロード詳細ログ"
analysisMaster.analysisQuery, "Analysis クエリ処理"
analysisMaster.analysisMDCache, "Analysis キャッシュ"
analysisMaster.analysisRecentUserChoice, "最近のユーザー選択情報のトラッキング"
analysisMaster.analysisOlap, "Analysis OLAP"
analysisMaster.analysisBackground, "Analysis バックグラウンドレポート"
analysisMaster.loadfile, "Analysis アップロードファイル"
analysisMigration,"Analysis 移行"
appInfoExtension, "アプリケーション情報の拡張に関連するメッセージ (共有サービスにのみ関連)"
appIntegrate, "アプリケーション間の統合ユーティリティ"
application, "Ariba アプリケーション運用関連情報"
application.chargeLoading, "cXML P カード請求ロード情報"
application.charge, "P カード請求関連情報"
application.customApprover, "顧客側で特別な承認を実行するために書かれた Java コード関連メッセージ"
application.cxml.aribaNetworkException, "一般的な Ariba Network エラー"
application.cxml.cxmlOcAsn, "オーダー確認および出荷通知処理の共通ロジックのトレース"
application.cxml.punchout, "cXML パンチアウト情報"
application.grid, "契約の段階的価格設定に関するメッセージ"
application.orgPartition, "組織のパーティション化に関するメッセージ"
application.paymentTerms, "支払い条件情報のトレース"
application.pricing, "価格設定条件のトレース"
application.procurement, "購買情報のトレース"
application.procurement.advancedShipNotice, "出荷通知処理のトレース"
application.procurement.categoryProcurement, "カテゴリ購買関連機能のトレース"
application.procurement.categoryProcurement.categoryDefinitionPropertyAccess, "カテゴリ定義プロパティの表示と編集のトレース"
application.procurement.categoryProcurement.categoryDefinitionPropertyCompliance, "カテゴリ定義プロパティ値の準拠のトレース"
application.procurement.categoryProcurement.categoryDefinitionPropertyUpdate, "カテゴリ定義プロパティ値の更新のトレース"
application.procurement.aggregation, "集約関連のトレース"
application.procurement.budget, "予算関連のトレース"
application.procurement.content, "コンテンツ関連のトレース"
application.procurement.contract, "契約関連のトレース"
application.procurement.contract.contractPricing, "契約価格情報のトレース"
application.procurement.contract.sla, "契約のサービスレベル合意情報のトレース"
application.procurement.electronicOrder, "電子オーダー処理"
application.procurement.excelImport, "Excel インポート情報"
application.procurement.accrual, "債務/未払い累積処理"
application.procurement.accrualMigrate, "未払い関連移行タスク"
application.procurement.itemMaster, "品目マスタ機能"
application.procurement.orderConfirmation, "オーダー確認処理のトレース"
application.procurement.ordering, "オーダーのフォーマットおよび送信処理状況のトレース"
application.procurement.payment, "請求書の支払情報のトレース"
application.procurement.receiving, "受入情報のトレース"
application.procurement.receiving.detail, "詳細な受入情報のトレース"
application.procurement.requisitioning, "購入申請情報のトレース"
application.procurement.service, "サービス関連機能のトレース"
application.procurement.service.servicePropertyAccess, "サービスプロパティの表示と編集のトレース"
application.procurement.service.servicePropertyCompliance, "サービスプロパティ値の準拠のトレース"
application.procurement.service.servicePropertyUpdate, "サービスプロパティ値の更新のトレース"
