8859_1,,
, This file is a mapping of all of the categories to their descriptions
action, "Suivi des actions et des conditions"
adapter, "Adaptateurs externes"
adaptersql, "Instructions SQL d'adaptateur externe"
admin, "Messages associés à l'administrateur Ariba Buyer"
adminui, "Messages associés à l'administration des catalogues"
advancedShipNotice, "Processus de suivi des avis d'expédition anticipée"
all, "Toutes les catégories de messages"
allocIds, "Affectations d'ID par le serveur"
altavista, "Journalisation de l'utilisation de recherche AltaVista de plus bas niveau"
altavistametrics, "Calcul de la durée de demande AltaVista de bas niveau"
amfBaseMaster, "Journalisation principale de base du cadre de messagerie"
analysis, "Analysis- Divers"
analysisAdmin, "Messages associés à l'administrateur Ariba Analysis"
analysisDataLoad, "Lecture des données d'analyse"
analysisMaster, "Analysis Master"
analysisQuery, "Analyse des opérations de demande"
analysisRecentUserChoice, "Suivi de l'information récente sur les choix utilisateur"
appIntegrate, "utilitaires d'intégration entre les applications"
application, "Information associée à l'application"
approvable, "Actions concernant les documents à approuver"
aql, "Suivi de l'information AQL"
aql2capi, "Mappage AQL dans CAPI"
aqlperf, "Information sur les performances AQL"
aribaISServer, "Messages envoyés au serveur Ariba"
aribaInternalDev, "Messages internes de développement Ariba"
aribaMappingException, "Erreurs associées au Punchout et au mappage de catalogue"
aribaNetwork, "Communication Ariba Network (haut niveau)"
aribaNetworkException, "Erreurs générales du réseau Ariba"
aribaNetworkLow, "Communication Ariba Network (bas niveau)"
aribaweb, "Web Ariba et session HTTP"
audit, "Vérifiez les activités d'utilisateur admin. qui changent le système"
auth, "Demandes d'authentification"
autoCalc, "Tracé de calcul automatique pour les champs de main-d'oeuvre"
avsapi, "Suivi de niveau API AltaVista"
avtrace, "Activer la journalisation interne AltaVista à Av<node>Log.txt"
awf, "Génération HTML et fonctionnement interne du cadre Web Ariba"
axDecodingInfo, "Renseignements généraux sur le décodage XML"
axDecodingProtocolTrace, "Suivi du protocole de décodage XML AXDecoding"
axDecodingTrace, "Suivi du décodage XML"
